roll_num,symbol,value
0,green,100
0,red,100
0,white,100
1,green,140
1,red,100
1,white,100
2,green,154
2,red,5
2,white,110.00000000000001
3,green,215.6
3,red,1
3,white,104.50000000000001
4,green,258.71999999999997
4,red,3
4,white,104.50000000000001
5,green,310.46399999999994
5,red,9
5,white,104.50000000000001
6,green,341.51039999999995
6,red,1.8
6,white,99.275
7,green,273.20831999999996
7,red,1.8
7,white,99.275
8,green,382.49164799999994
8,red,0.09000000000000001
8,white,99.275
9,green,420.74081279999996
9,red,0.27
9,white,99.275
10,green,589.0371379199999
10,red,0.054000000000000006
10,white,94.31125
11,green,647.9408517119999
11,red,0.054000000000000006
11,white,103.74237500000001
12,green,518.3526813696
12,red,0.16200000000000003
12,white,114.11661250000002
13,green,725.69375391744
13,red,0.4860000000000001
13,white,125.52827375000003
14,green,798.263129309184
14,red,0.024300000000000006
14,white,125.52827375000003
15,green,878.0894422401025
15,red,0.024300000000000006
15,white,138.08110112500003
16,green,965.8983864641128
16,red,0.024300000000000006
16,white,138.08110112500003
17,green,1062.4882251105241
17,red,0.07290000000000002
17,white,151.88921123750004
18,green,1168.7370476215767
18,red,0.21870000000000006
18,white,151.88921123750004
19,green,1402.484457145892
19,red,0.21870000000000006
19,white,151.88921123750004
20,green,1262.2360114313028
20,red,0.6561000000000001
20,white,151.88921123750004